№ з/п,"Набори даних, які підлягають оприлюдненню у формі відкритих даних",Розпорядник інформації,посилання на opedata.kremen.gov.ua,посилання на data.gov.ua
46,"Дані про зелені насадження, що підлягають видаленню, відповідно до виданих актів обстеження зелених насаджень",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D1%96-%D0%BD%D0%B0%D1%81%D0%B0%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D1%89%D0%BE-%D0%BF%D1%96%D0%B4%D0%BB%D1%8F%D0%B3%D0%B0%D1%8E%D1%82%D1%8C-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8E-%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D0%B2%D1%96%D0%B4%D0%BD%D0%BE-%D0%B4%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D0%BE%D0%B1%D1%81%D1%82%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F,N/A
47,Надані містобудівні умови та обмеження,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%BD%D0%B0%D0%B4%D0%B0%D0%BD%D1%96-%D0%BC%D1%96%D1%81%D1%82%D0%BE%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D1%96-%D1%83%D0%BC%D0%BE%D0%B2%D0%B8-%D1%82%D0%B0-%D0%BE%D0%B1%D0%BC%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F ,N/A
48,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B4%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%BD%D1%96%D1%81%D1%82%D1%8C-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%B5%D0%BB%D1%8C-%D0%B4%D0%BB%D1%8F-%D0%BE%D1%81%D1%96%D0%B1-%D0%B7-%D1%96%D0%BD%D0%B2%D0%B0%D0%BB%D1%96%D0%B4%D0%BD%D1%96%D1%81%D1%82%D1%8E-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D0%B8%D1%85-%D0%BC%D0%B0%D0%BB%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B3%D1%80%D1%83%D0%BF-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F,N/A
49,Дані про тарифи на комунальні послуги,Управління економіки,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D1%82%D0%B0%D1%80%D0%B8%D1%84%D0%B8-%D0%BD%D0%B0-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D0%B3%D0%B8,N/A
50,"Дані про надходження звернень на гарячі лінії, у аварійно-диспетчерські служби, телефонні центри тощо",Відділ оперативного контролю за станом в місті,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B2%D0%B5%D1%80%D0%BD%D0%B5%D0%BD%D1%8C-%D0%BD%D0%B0-%D0%B3%D0%B0%D1%80%D1%8F%D1%87%D1%83-%D0%BB%D1%96%D0%BD%D1%96%D1%8E,N/A
51,"Дані про електронні петиції, у тому числі, осіб, що їх підписали, та результати розгляду",Управління по роботі зі зверненнями громадян,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%BD%D0%B8%D1%85-%D0%BF%D0%B5%D1%82%D0%B8%D1%86%D1%96%D0%B9-%D1%83-%D1%96-%D0%BF%D1%96%D0%B2%D1%80%D1%96%D1%87%D1%87%D1%96-2019-%D1%80%D0%BE%D0%BA%D1%83,N/A
52,"Дані громадського бюджету, бюджету участі тощо, у тому числі про проекти, результати голосування, реалізацію підтриманих проектів",Відділ з питань внутрішньої політики,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-%D1%83%D1%87%D0%B0%D1%81%D1%82%D1%96-%D1%82%D0%BE%D1%89%D0%BE-%D1%83-%D1%82%D0%BE%D0%BC%D1%83-%D1%87%D0%B8%D1%81%D0%BB%D1%96-%D0%BF%D1%80%D0%BE-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8-%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B8,N/A
53,"Перелік об’єктів комунальної власності, які підлягають приватизації",Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%8F%D0%BA%D1%96-%D0%BF%D1%96%D0%B4%D0%BB%D1%8F%D0%B3%D0%B0%D1%8E%D1%82%D1%8C-%D0%BF%D1%80%D0%B8%D0%B2%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D1%96%D1%97,N/A
54,Адресний реєстр,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%BD%D0%B8%D0%B9-%D1%80%D0%B5%D1%94%D1%81%D1%82%D1%80,N/A
55,Дані про надані адміністративні послуги,"Департамент ""Центр надання адміністративних послуг у місті Кременчуці""",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D0%B0%D0%BD%D1%96-%D0%B0%D0%B4%D0%BC%D1%96%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D1%96-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D0%B3%D0%B8,https://data.gov.ua/dataset/2f5debd4-a24b-4618-bd6b-945d36a6adc6
56,Дані про видані будівельні паспорти,Управління державного архітектурно-будівельного контролю,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D1%96-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%B5%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8,N/A
57,Дані про медичних працівників закладів охорони здоров’я,Управління охорони здоров’я,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D0%B5%D0%B4%D0%B8%D1%87%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%B0%D1%86%D1%96%D0%B2%D0%BD%D0%B8%D0%BA%D1%96%D0%B2,N/A
58,Дані про педагогічних працівників закладів освіти,Департамент освіти,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%B0%D1%86%D1%96%D0%B2%D0%BD%D0%B8%D0%BA%D1%96%D0%B2-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2-%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%8C%D0%BE%D1%97-%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8-%D0%BC-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D0%BA%D0%B0,N/A
59,Дані про медичне обладнання комунальних закладів охорони здоров’я,Управління охорони здоров’я,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D0%B5%D0%B4%D0%B8%D1%87%D0%BD%D0%B5-%D0%BE%D0%B1%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2-%D0%BE%D1%85%D0%BE%D1%80%D0%BE%D0%BD%D0%B8-%D0%B7%D0%B4%D0%BB%D0%BE%D1%80%D0%BE%D0%B2%D1%8F,N/A
60,"Дані про розміщення спецтехніки, що використовується для надання комунальних послуг, благоустрою, здійснення будівельних та ремонтних робіт",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/search/type/dataset?query=%D0%94%D0%B0%D0%BD%D1%96%20%D0%BF%D1%80%D0%BE%20%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F%20%D1%81%D0%BF%D0%B5%D1%86%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B8 ,N/A
61,"Перелік бюджетних програм, у тому числі посилання на оприлюднені ресурси в Інтернеті",Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D0%BD%D0%B0-2019-%D1%80%D1%96%D0%BA-0,N/A
62,"Перелік цільових програм, у тому числі посилання на оприлюднені ресурси в Інтернеті",Управління економіки,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%86%D1%96%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D1%83-%D1%82%D0%BE%D0%BC%D1%83-%D1%87%D0%B8%D1%81%D0%BB%D1%96-%D0%BF%D0%BE%D1%81%D0%B8%D0%BB%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BD%D0%B0-%D0%BE%D0%BF%D1%80%D0%B8%D0%BB%D1%8E%D0%B4%D0%BD%D0%B5%D0%BD%D1%96-%D1%80%D0%B5%D1%81%D1%83%D1%80%D1%81%D0%B8-%D0%B2-%D1%96%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82%D1%96,N/A
63,Перелік розпорядників бюджетних коштів,Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%80%D0%BE%D0%B7%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BD%D0%B8%D0%BA%D1%96%D0%B2-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BA%D0%BE%D1%88%D1%82%D1%96%D0%B2,N/A
64,Фінансова звітність суб’єктів господарювання комунального сектору економіки,Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D1%84%D1%96%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B7%D0%B2%D1%96%D1%82%D0%BD%D1%96%D1%81%D1%82%D1%8C-%D1%81%D1%83%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%D1%80%D1%8E%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%81%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D1%83-%D0%B5%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D1%96%D0%BA%D0%B8,N/A
65,"Перелік дошкільних, середніх, позашкільних та професійно-технічних навчальних закладів і статистична інформація щодо них",Департамент освіти,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%B4%D0%BE%D1%88%D0%BA%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%96%D1%85-%D1%82%D0%B0-%D0%BF%D0%BE%D0%B7%D0%B0%D1%88%D0%BA%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2-%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8-%D0%BC-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D0%BA%D0%B0 ,N/A
66,Дані про черги дітей у дошкільні навчальні заклади,Департамент освіти,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D1%87%D0%B5%D1%80%D0%B3%D1%83-%D0%B4%D1%96%D1%82%D0%B5%D0%B9-%D1%83-%D0%B4%D0%BE%D1%88%D0%BA%D1%96%D0%BB%D1%8C%D0%BD%D1%96-%D0%BD%D0%B0%D0%B2%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D0%B8-%D0%B4%D0%B5%D0%BF%D0%B0%D1%80%D1%82%D0%B0%D0%BC%D0%B5%D0%BD%D1%82%D1%83-%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8 ,N/A
67,Території обслуговування загальноосвітніх навчальних закладів,Департамент освіти,https://opendata.kremen.gov.ua/dataset/%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97-%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B3%D0%BE%D0%B2%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%BD%D1%96%D1%85-%D0%BD%D0%B0%D0%B2%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2 ,N/A
68,Дані про видані дозволи на порушення об’єктів благоустрою,Управління контролю за станом благоустрою,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D1%96-%D0%B4%D0%BE%D0%B7%D0%B2%D0%BE%D0%BB%D0%B8-%D0%BD%D0%B0-%D0%BF%D0%BE%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%BD%D1%8F-%D0%BE%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D1%8E,N/A
69,Черга на отримання земельних ділянок із земель комунальної власності,Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D1%87%D0%B5%D1%80%D0%B3%D0%B0-%D0%BD%D0%B0-%D0%BE%D1%82%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA-%D1%96%D0%B7-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96,N/A
70,"Дані обліку громадян, які потребують поліпшення житлових умов (квартирний облік)",Квартирне управління,https://opendata.kremen.gov.ua/dataset/%D0%B6%D0%B8%D1%82%D0%BB%D0%BE%D0%B2%D0%B0-%D0%BF%D0%BE%D0%BB%D1%96%D1%82%D0%B8%D0%BA%D0%B0-%D0%BA%D0%BF-%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80%D0%BD%D0%B5-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D1%96%D0%BD%D0%BD%D1%8F,N/A
71,"Дані про споживання комунальних ресурсів (електроенергія, теплова енергія, природний газ, тверде паливо, холодна та гаряча вода) комунальними підприємствами, установами (закладами) та організаціями",Відділ енергоменеджменту та енергетики,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D1%81%D0%BF%D0%BE%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D1%80%D0%B5%D1%81%D1%83%D1%80%D1%81%D1%96%D0%B2-%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B5%D1%80%D0%B3%D1%96%D1%8F-%D1%82%D0%B5%D0%BF%D0%BB%D0%BE%D0%B2%D0%B0-%D0%B5%D0%BD%D0%B5%D1%80%D0%B3%D1%96%D1%8F-%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%B8%D0%B9-%D0%B3%D0%B0%D0%B7-1,https://data.gov.ua/dataset/d8e83530-b7a4-45bb-9000-d440321f1a8c
72,Надходження і використання благодійної допомоги,Охорона здоров'я,https://opendata.kremen.gov.ua/dataset/%D0%BD%D0%B0%D0%B4%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D1%96-%D0%B2%D0%B8%D0%BA%D0%BE%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D1%96%D0%B9%D0%BD%D0%BE%D1%97-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BC%D0%BE%D0%B3%D0%B8,N/A
73,Дані про надані містобудівні умови та обмеження,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D0%B0%D0%BD%D1%96-%D0%BC%D1%96%D1%81%D1%82%D0%BE%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D1%96-%D1%83%D0%BC%D0%BE%D0%B2%D0%B8-%D1%82%D0%B0-%D0%BE%D0%B1%D0%BC%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F ,N/A
74,"Планові та фактичні показники сплати за договорами оренди комунальної власності, розміщення тимчасових споруд, розміщення рекламних засобів","Управління містобудування та архітектури, фонд майна, КП МОФ",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D1%96-%D1%82%D0%B0-%D1%84%D0%B0%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D1%96-%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7%D0%BD%D0%B8%D0%BA%D0%B8-%D1%81%D0%BF%D0%BB%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B0%D0%BC%D0%B8-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D0%B8-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F,N/A
75,"Дані про здійснення державного архітектурно-будівельного контролю, у тому числі про плани перевірок та складені документи (акти, приписи, протоколи, постанови)",Управління державного архітектурно-будівельного контролю,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B7%D0%B4%D1%96%D0%B9%D1%81%D0%BD%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%BE%D0%B3%D0%BE-%D0%B0%D1%80%D1%85%D1%96%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%BD%D0%BE-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8E,N/A
76,"Перелік та місцезнаходження закладів комунальних закладів охорони здоров’я, які забезпечені обладнанням гінекологічним, мамологічним обладнанням, що пристосоване до потреб осіб з інвалідністю з урахуванням особливостей їх пересування",Управління охорони здоров’я,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%BE%D0%B2%D1%96%D0%B4%D0%BD%D0%B8%D0%BA-%D0%BF%D1%96%D0%B4%D0%BF%D1%80%D0%B8%D1%94%D0%BC%D1%81%D1%82%D0%B2,N/A